t,γ1_min,γ1_max,γ2_min,γ2_max
0.0,1.0,1.0,1.0,1.0
0.002,0.9999979894848339,0.999998008618474,0.999998000006,0.999998000006
0.004,0.9999919153708191,0.9999920686259786,0.9999920000959986,0.9999920000959986
0.006,0.9999817126404673,0.9999822305377974,0.9999820004859848,0.9999820004859848
0.008,0.9999673146831523,0.9999685439383346,0.999968001535916,0.999968001535916
0.01,0.9999486532432859,0.999951057504966,0.9999500037496826,0.9999500037496826
0.012,0.9999256583665117,0.9999298190311758,0.9999280077750566,0.9999280077750566
0.014,0.9998982583438292,0.9999048754489974,0.9999020144036282,0.9999020144036282
0.016,0.9998663796535567,0.9998762728507865,0.9998720245707255,0.9998720245707255
0.018000000000000002,0.9998299469010373,0.9998440565103468,0.9998380393553218,0.9998380393553218
0.02,0.9997888827559857,0.9998082709034307,0.999800059979927,0.999800059979927
0.022,0.9997431078873712,0.9997689597276359,0.9997580878104668,0.9997580878104668
0.024,0.9996925408957241,0.9997261659217178,0.9997121243561448,0.9997121243561448
0.026000000000000002,0.999637098242748,0.999679931684337,0.9996621712692928,0.9996621712692928
0.028,0.9995766941781152,0.9996302984922614,0.9996082303452057,0.9996082303452057
0.03,0.9995112406633148,0.9995773071180396,0.9995503035219626,0.9995503035219626
0.032,0.9994406472924162,0.999520997647164,0.9994883928802331,0.9994883928802331
0.034,0.9993648212096053,0.9994614094947388,0.9994225006430701,0.9994225006430701
0.036000000000000004,0.9992836670233405,0.9993985814216717,0.9993526291756889,0.9993526291756889
0.038,0.9991970867169686,0.9993325515504008,0.9992787809852308,0.9992787809852308
0.04,0.9991049795556339,0.9992633573801755,0.9992009587205145,0.9992009587205145
0.042,0.9990072419893001,0.9991910358019027,0.999119165171772,0.999119165171772
0.044,0.9989037675517013,0.9991156231125752,0.9990334032703716,0.9990334032703716
0.046,0.9987944467550209,0.9990371550292917,0.9989436760885266,0.9989436760885266
0.048,0.9986791669800938,0.9989556667028849,0.9988499868389908,0.9988499868389908
0.05,0.9985578123619082,0.9988711927311688,0.9987523388747391,0.9987523388747391
0.052000000000000005,0.9984302636701773,0.9987837671718157,0.9986507356886357,0.9986507356886357
0.054,0.9982963981847355,0.9986934235548781,0.9985451809130879,0.9985451809130879
0.056,0.9981560895654974,0.9986001948949612,0.9984356783196867,0.9984356783196867
0.058,0.9980092077167091,0.9985041137030629,0.9983222318188342,0.9983222318188342
0.06,0.9978556186451982,0.9984052119980872,0.9982048454593566,0.9982048454593566
0.062,0.9976951843123198,0.9983035213180421,0.9980835234281054,0.9980835234281054
0.064,0.99752776247927,0.9981990727309333,0.9979582700495433,0.9979582700495433
0.066,0.997353206545427,0.9980918968453607,0.99782908978532,0.99782908978532
0.068,0.997171365379354,0.9979820238208283,0.9976959872338311,0.9976959872338311
0.07,0.9969820831420789,0.9978694833777763,0.9975589671297675,0.9975589671297675
0.07200000000000001,0.9967851991022425,0.9977543048073412,0.9974180343436496,0.9974180343436496
0.074,0.996580547442682,0.9976365169808572,0.9972731938813497,0.9972731938813497
0.076,0.9963679570579909,0.9975161483591006,0.9971244508836014,0.9971244508836014
0.078,0.9961472513425661,0.9973932270012899,0.9969718106254964,0.9969718106254964
0.08,0.9959182479686267,0.9972677805738454,0.9968152785159691,0.9968152785159691
0.082,0.9956807586536537,0.9971398363589182,0.9966548600972677,0.9966548600972677
0.084,0.9954345889166663,0.9970094212626934,0.9964905610444145,0.9964905610444145
0.08600000000000001,0.9951795378227136,0.9968765618234742,0.9963223871646524,0.9963223871646524
0.088,0.9949153977149235,0.9967412842195553,0.9961503443968811,0.9961503443968811
0.09,0.9946419539334032,0.9966036142768897,0.9959744388110787,0.9959744388110787
0.092,0.9943589845202444,0.9964635774765556,0.9957946766077144,0.9957946766077144
0.094,0.9940662599098395,0.9963211989620294,0.9956110641171467,0.9956110641171467
0.096,0.9937635426036548,0.9961765035462706,0.9954236077990118,0.9954236077990118
0.098,0.9934505868285615,0.9960295157186231,0.9952323142415994,0.9952323142415994
0.1,0.9931271381777552,0.9958802596515393,0.9950371901612176,0.9950371901612176
